Date,Portfolio Value
2018-04-30,332294.6945075415
2018-05-31,330013.7085155812
2018-06-30,330389.5773631663
2018-07-31,336600.1617192953
2018-08-31,348106.95650162344
2018-09-30,325592.8911012901
2018-10-31,306008.9338198655
2018-11-30,307560.0743467675
2018-12-31,318535.2651258762
2019-01-31,304717.43416802486
2019-02-28,304312.0346995222
2019-03-31,307990.5761142441
2019-04-30,301139.48967707093
2019-05-31,285306.694319932
2019-06-30,294528.78266933607
2019-07-31,273684.78404077276
2019-08-31,291865.3479005808
2019-09-30,305788.8260167119
2019-10-31,312683.9493846722
2019-11-30,323538.27196414035
2019-12-31,333910.39385998517
2020-01-31,313998.4966040901
2020-02-29,304488.54677720496
2020-03-31,258815.26476062427
2020-04-30,312059.65130854695
2020-05-31,319951.4983781836
2020-06-30,347105.00032671314
2020-07-31,397352.6799433737
2020-08-31,395347.8583811318
2020-09-30,384073.71769300004
2020-10-31,394181.29476240877
2020-11-30,479552.81577471655
2020-12-31,509920.271156744
2021-01-31,501713.93873102934
2021-02-28,503973.65830327576
2021-03-31,513120.5311205348
2021-04-30,568129.1528700863
2021-05-31,598859.92574968
2021-06-30,612358.7315010394
2021-07-31,621009.9202819595
2021-08-31,683425.6203641649
2021-09-30,670974.3271945381
2021-10-31,656079.7781362175
2021-11-30,616270.7987850901
2021-12-31,593134.5944918313
2022-01-31,541549.0635282397
2022-02-28,512613.64083357435
2022-03-31,520739.0019385987
2022-04-30,553414.3518035527
2022-05-31,545342.1454727891
2022-06-30,538326.5964010871
2022-07-31,591108.7331543429
2022-08-31,618820.5333454531
2022-09-30,612037.8950271874
2022-10-31,620440.4416264843
2022-11-30,638280.9996689546
2022-12-31,636916.0101211506
2023-01-31,619152.5325018715
2023-02-28,590227.5489527516
2023-03-31,594034.1153398216
2023-04-30,644382.7268422283
2023-05-31,689360.3540627846
2023-06-30,709305.9493656765
2023-07-31,743076.2733179523
2023-08-31,740719.7345772623
2023-09-30,740802.1138222299
2023-10-31,742772.6983296253
2023-11-30,800834.3800139836
2023-12-31,868749.5800291602
2024-01-31,905673.8011942785
2024-02-29,955562.1276443561
2024-03-31,962795.3082827036
2024-04-30,992645.1142072369
2024-05-31,1059063.1093338858
2024-06-30,1057103.4011841186
2024-07-31,1100904.0221293094
2024-08-31,1131401.4999654642
2024-09-30,1208354.5336616212
2024-10-31,1071989.1972214272
2024-11-30,1112432.335146595
2024-12-31,1105532.8842368035
2025-01-31,1087272.5860838708
2025-02-28,1113263.7984354217
2025-03-31,1177160.9817029382
2025-04-30,1222407.9282303245
2025-05-31,1231083.9672340453
2025-06-30,1246718.380397728
2025-07-31,1200519.3300281288
2025-08-31,1222098.5464627724
2025-09-30,1280884.194342874
2025-10-31,1316778.2276127748
2025-11-30,1313180.8200008837
2025-12-31,1268753.5482437273
2026-01-31,1317620.169642589
2026-02-28,1312523.8211741636
2026-03-31,1178646.6278111613
2026-04-30,1199379.7759422583
